Year,Month,Quarter,Revenue,Units_Sold,Customers,Avg_Order_Value,Growth_Rate,Marketing_Spend,Customer_Satisfaction,Category_Electronics,Category_Home_Goods,Category_Apparel,Region_NorthAmerica,Region_Europe,Region_Asia,Support_Tickets,Returns
2022,1,Q1,75000,750,225,333.33,0.10,11250,4.0,33750,22500,18750,30000,22500,22500,140,188
2022,2,Q1,82500,825,248,333.33,0.10,12375,4.1,37125,24750,20625,33000,24750,24750,135,206
2022,3,Q1,90750,908,272,333.33,0.10,13613,4.0,40838,27225,22688,36300,27225,27225,145,227
2022,4,Q2,99825,998,299,333.33,0.10,14974,4.2,44921,29948,24956,39930,29948,29948,130,250
2022,5,Q2,109808,1098,329,333.33,0.10,16471,4.3,49414,32942,27452,43923,32942,32942,125,275
2022,6,Q2,120789,1208,362,333.33,0.10,18118,4.4,54355,36237,30198,48316,36237,36237,120,302
2022,7,Q3,132868,1329,399,333.33,0.10,19930,4.5,59791,39860,33217,53147,39860,39860,115,333
2022,8,Q3,146155,1462,439,333.33,0.10,21923,4.6,65770,43846,36538,58562,43846,43846,110,366
2022,9,Q3,160770,1608,482,333.33,0.10,24116,4.7,72347,48231,40192,64218,48231,48231,105,402
2022,10,Q4,176847,1768,531,333.33,0.10,26527,4.8,79581,53054,44212,70639,53054,53054,100,443
2022,11,Q4,194532,1945,584,333.33,0.10,29180,4.9,87539,58360,48633,77703,58360,58360,95,487
2022,12,Q4,213985,2140,642,333.33,0.10,32098,5.0,96293,64196,53497,85473,64196,64196,90,536
2023,1,Q1,85000,850,255,333.33,0.15,12750,4.1,38250,25500,21250,34000,25500,25500,130,213
2023,2,Q1,97750,978,293,333.33,0.15,14663,4.2,43988,29325,24438,39100,29325,29325,125,245
2023,3,Q1,112413,1124,337,333.33,0.15,16862,4.0,50586,33724,28103,44965,33724,33724,135,282
2023,4,Q2,129275,1293,388,333.33,0.15,19391,4.3,58174,38783,32319,51710,38783,38783,120,324
2023,5,Q2,148666,1487,446,333.33,0.15,22300,4.4,66900,44600,37167,59466,44600,44600,115,373
2023,6,Q2,170966,1710,513,333.33,0.15,25645,4.5,76935,51290,42742,68386,51290,51290,110,429
2023,7,Q3,196611,1966,590,333.33,0.15,29492,4.6,88475,58983,49153,78644,58983,58983,105,493
2023,8,Q3,226103,2261,678,333.33,0.15,33915,4.7,101746,67831,56526,90441,67831,67831,100,567
2023,9,Q3,260018,2600,780,333.33,0.15,39003,4.8,117008,78005,65004,104007,78005,78005,95,652
2023,10,Q4,299021,2990,897,333.33,0.15,44853,4.9,134560,89707,74756,119608,89707,89707,90,750
2023,11,Q4,343874,3439,1032,333.33,0.15,51581,5.0,154743,103162,85968,137550,103162,103162,85,863
2023,12,Q4,395455,3955,1186,333.33,0.15,59318,5.0,177955,118637,98864,158182,118637,118637,80,992
2024,1,Q1,100000,1000,300,333.33,0.20,15000,4.2,45000,30000,25000,40000,30000,30000,120,210
2024,2,Q1,120000,1200,360,333.33,0.20,18000,4.3,54000,36000,30000,48000,36000,36000,115,252
2024,3,Q1,144000,1440,432,333.33,0.20,21600,4.1,64800,43200,36000,57600,43200,43200,125,302
2024,4,Q2,172800,1728,518,333.33,0.20,25920,4.4,77760,51840,43200,69120,51840,51840,110,363
2024,5,Q2,207360,2074,622,333.33,0.20,31104,4.5,93312,62208,51840,82944,62208,62208,105,436
2024,6,Q2,248832,2488,746,333.33,0.20,37325,4.6,111974,74650,62208,99533,74650,74650,100,523
2024,7,Q3,298598,2986,896,333.33,0.20,44790,4.7,134369,89579,74650,119439,89579,89579,95,628
2024,8,Q3,358318,3583,1075,333.33,0.20,53748,4.8,161243,107495,89579,143327,107495,107495,90,754
2024,9,Q3,429982,4300,1290,333.33,0.20,64498,4.9,193492,128994,107495,171992,128994,128994,85,905
2024,10,Q4,515978,5160,1548,333.33,0.20,77397,4.8,232190,154796,128994,206391,154796,154796,80,1086
2024,11,Q4,619174,6192,1858,333.33,0.20,92877,4.9,278628,185752,154796,247669,185752,185752,75,1303
2024,12,Q4,743009,7430,2229,333.33,0.20,111452,5.0,334354,222903,185752,297204,222903,222903,70,1564
